id,family,kind,rarity,set,name,description,icon
gear_conscript_helm,gear,Head,Grey,set_conscript,Conscript Helm,A battered iron helm worn by new recruits.,gear/gear_conscript_helm.png
gear_conscript_collar,gear,Neck,Grey,set_conscript,Conscript Collar,A crude neck guard offering minimal protection.,gear/gear_conscript_collar.png
gear_conscript_chest,gear,Torso,Grey,set_conscript,Conscript Chest,Padded leather chest armour. Stops the smallest of blows.,gear/gear_conscript_chest.png
gear_iron_ring,gear,Ring1,Grey,set_conscript,Iron Ring,A plain iron ring. Somehow sharpens the wearer's strikes.,gear/gear_iron_ring.png
gear_worn_band,gear,Ring2,Grey,set_conscript,Worn Band,A scratched metal band. No discernible power remains.,gear/gear_worn_band.png
gear_draft_horse,gear,Mount,Grey,set_conscript,Draft Horse,A sturdy workhorse. Occasionally charges into the fray with surprising force.,gear/gear_draft_horse.png
gear_conscript_boots,gear,Boots,Grey,set_conscript,Conscript Boots,Worn leather boots. Better than bare feet.,gear/gear_conscript_boots.png
gear_conscript_gloves,gear,Gloves,Grey,set_conscript,Conscript Gloves,Rough cloth gloves. Barely break-in.,gear/gear_conscript_gloves.png
gear_pano_helm,gear,Head,Orange,set_pano,Pano's War Helm,Legendary questing helm of the lost vanguard Pano. Hums with old power.,gear/gear_pano_helm.png
gear_pano_amulet,gear,Neck,Orange,set_pano,Pano's Amulet,"An amulet warm to the touch, part of Pano's questing regalia.",gear/gear_pano_amulet.png
gear_pano_cuirass,gear,Torso,Orange,set_pano,Pano's Cuirass,The famed breastplate of Pano. Turns aside blows that would fell a lesser fighter.,gear/gear_pano_cuirass.png
gear_pano_signet,gear,Ring1,Orange,set_pano,Pano's Signet,A signet ring that sharpens the wearer's strikes.,gear/gear_pano_signet.png
gear_pano_band,gear,Ring2,Orange,set_pano,Pano's Band,The companion band to Pano's signet. Steadies the hand in battle.,gear/gear_pano_band.png
gear_pano_steed,gear,Mount,Orange,set_pano,Pano's Steed,Pano's tireless warhorse. Charges with devastating force.,gear/gear_pano_steed.png
gear_pano_greaves,gear,Boots,Orange,set_pano,Pano's Greaves,Greaves that carry the wearer surefooted across any field.,gear/gear_pano_greaves.png
gear_pano_gauntlets,gear,Gloves,Orange,set_pano,Pano's Gauntlets,Gauntlets that lend crushing strength to every strike.,gear/gear_pano_gauntlets.png
gear_oathsteel_helm,gear,Head,Blue,,Oathsteel Helm,Forged from oathsteel and the shards of a hundred conscript helms.,gear/gear_oathsteel_helm.png
gear_weir_kettle_helm,gear,Head,Green,set_weir,Weir Kettle Helm,Frontier issue. The brim is wide because rain ruins a bowstring faster than an enemy does.,gear/gear_weir_kettle_helm.png
